Museum.Name,Legal.Name,Museum.Type,State..Administrative.Location.,Region.Code..AAM.,Is.Museum,Tax.Year,Annual.Revenue
ALASKA AVIATION HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,AK,6,TRUE,2013,1100472
ALASKA BOTANICAL GARDEN,ALASKA BOTANICAL GARDEN INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,1323742
ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INC,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AK,6,TRUE,2013,729080
ALASKA HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,AK,6,TRUE,2013,1100472
ALASKA JEWISH MUSEUM,ALASKA JEWISH HISTORICAL MUSEUM AND CULTURAL CENTER,GENERAL MUSEUM,AK,6,TRUE,2013,68748
ALASKA LIGHTHOUSE ASSOCIATION,ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,16500
ALASKA SPORTS HALL OF FAME,ALASKA SPORTS HALL OF FAME INC,GENERAL MUSEUM,AK,6,TRUE,2013,615273
ALASKA STATE MUSEUM,FRIENDS OF THE ALASKA STATE MUSEUM,GENERAL MUSEUM,AK,6,TRUE,2013,129192
ALASKA TROOPER MUSEUM,FRATERNAL ORDER OF ALASKA STATE TROOPERS CHARITY CORPORATIO,GENERAL MUSEUM,AK,6,TRUE,2013,221807
ALASKA WILDLIFE CONSERVATION CENTER,ALASKA WILDLIFE CONSERVATION CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,2793744
ALASKA ZOO,ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AK,6,FALSE,2013,2393748
ALUTIIQ HERITAGE ENDOWMENT,THE ALUTIIQ HERITAGE ENDOWMENT,HISTORIC PRESERVATION,AK,6,FALSE,2013,15734
ALUTIIQ HERITAGE FOUNDATION,ALUTIIQ HERITAGE FOUNDATION,GENERAL MUSEUM,AK,6,TRUE,2013,1055839
ANCHORAGE MUSEUM,ANCHORAGE MUSEUM FOUNDATION,GENERAL MUSEUM,AK,6,TRUE,2013,4116780
BARANOV MUSEUM,KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,576316
BUNNELL STREET GALLERY,BUNNELL STREET ARTS CENTER,ART MUSEUM,AK,6,TRUE,2013,335104
CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,59819
CARR-GOTTSTEIN GALLERY,ALASKA PACIFIC UNIVERSITY,ART MUSEUM,AK,6,TRUE,2013,63692296
CENTER FOR ALASKAN COASTAL STUDIES,CENTER FOR ALASKAN COASTAL STUDIES,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,908922
CHILKAT INDIAN VILLAGE,FOUNDATION FOR THE CHILKAT CENTER FOR THE ARTS,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
CLAUDIA KELSEY DOLL MUSEUM,CLAUDIA KELSEY DOLL MUSEUM TR DBA AUNT CLAUDIAS DOLLS A MUS,GENERAL MUSEUM,AK,6,TRUE,2013,0
CORDOVA HISTORICAL SOCIETY,CORDOVA HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,34193
DENALI NATIONAL PARK AND PRESERVE,DENALI EDUCATION CENTER,HISTORIC PRESERVATION,AK,6,FALSE,2013,1416741
EAGLE HISTORICAL SOCIETY,EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,AK,6,FALSE,2013,29314
EAGLE HISTORICAL SOCIETY OF ALASKA,EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,AK,6,FALSE,2013,29314
EAGLE RIVER NATURE CENTER,FRIENDS OF EAGLE RIVER NATURE CENTER INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,268677
FAIRBANKS CHILDREN'S MUSEUM,FAIRBANKS CHILDRENS MUSEUM,CHILDREN'S MUSEUM,AK,6,TRUE,2013,156377
FAIRBANKS HOCKEY HALL OF FAME,FAIRBANKS HOCKEY HALL OF FAME INC,GENERAL MUSEUM,AK,6,TRUE,2013,31075
GASTINEAU CHANNEL HISTORICAL SOCIETY,GASTINEAU CHANNEL HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
GOLDBELT HERITAGE FOUNDATION,GOLDBELT HERITAGE FOUNDATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,1549084
HOMER SOCIETY OF NATURAL HISTORY,HOMER SOCIETY OF NATURAL HISTORY INC,NATURAL HISTORY MUSEUM,AK,6,TRUE,2013,742408
INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS INC,ART MUSEUM,AK,6,TRUE,2013,39227
JESSE LEE HOME,FRIENDS OF THE JESSE LEE HOME,HISTORIC PRESERVATION,AK,6,FALSE,2013,1037819
JILKAAT KWAAN HERITAGE CENTER,JILKATT KWANN CULTURAL HERITAGE CENTER - BALD EAGLE OBSERVA,GENERAL MUSEUM,AK,6,TRUE,2013,78314
JUNEAU DOUGLAS CITY MUSEUM,FRIENDS OF THE JUNEAU-DOUGLAS CITY MUSEUM,GENERAL MUSEUM,AK,6,TRUE,2013,0
KACHEMAK HERITAGE LAND TRUST,KACHEMAK HERITAGE LAND TRUST INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,287801
KAKE TRIBAL HERITAGE FOUNDATION,KAKE TRIBAL HERITAGE FOUNDATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
KASILOF REGIONAL HISTORICAL ASSOCIATION,KASILOF REGIONAL HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,37598
KNIK MUSEUM,WASILLA-KINK HISTORICAL SOCIETY,HISTORY MUSEUM,AK,6,TRUE,2013,73802
KODIAK HISTORICAL SOCIETY,KODIAK HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,576316
KODIAK MARITIME MUSEUM AND ART CENTER,KODIAK MARITIME MUSEUM AND ART CENTER,ART MUSEUM,AK,6,TRUE,2013,85352
MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,MUSEUM OF ALASKA TRANSPORATION AND INDUSTRY INC,HISTORY MUSEUM,AK,6,TRUE,2013,67641
MUSEUM OF THE ALEUTIANS,MUSEUM OF THE ALEUTIANS,GENERAL MUSEUM,AK,6,TRUE,2013,609946
MUSEUMS ALASKA,MUSEUMS ALASKA INCORPORATED,GENERAL MUSEUM,AK,6,TRUE,2013,433429
NEW YORK ALASKA HOUSE,NEW YORK ALASKA HOUSE INC,ART MUSEUM,AK,6,TRUE,2013,50
OSCAR ANDERSON HOUSE,ALASKA ASSOCIATION FOR HISTORIC PRESERVATION INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,133637
PALMER HISTORICAL SOCIETY,PALMER HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
PALMER MUSEUM OF HISTORY AND ART,PALMER MUSEUM OF HISTORY AND ART,GENERAL MUSEUM,AK,6,TRUE,2013,144442
PIONEER MEMORIAL PARK,PIONEER MEMORIAL PARK INC,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,0
PRATT MUSEUM,PATRONS OF THE PRATT SOCIETY,ART MUSEUM,AK,6,TRUE,2013,65544
RIO GRANDE MODELING & HISTORICAL SOCIETY,RIO GRANDE MODELING & HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,5,FALSE,2013,28358
RUSSIAN ORTHODOX MUSEUM,RUSSIAN ORTHODOX SACRED SITES IN ALASKA INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,698562
RUSSIAN ORTHODOX SACRED SITES IN ALASKA,RUSSIAN ORTHODOX SACRED SITES IN ALASKA INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,698562
SEALASKA HERITAGE INSTITUTE,SEALASKA HERITAGE INSTITUTE,GENERAL MUSEUM,AK,6,TRUE,2013,7812834
SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,SEWARD ASSOCIATION FOR THE ADVANCEMENT OF MARINE SCIENCE,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AK,6,FALSE,2013,9469200
SHELDON JACKSON MUSEUM,FRIENDS OF SHELDON JACKSON MUSEUM,NATURAL HISTORY MUSEUM,AK,6,TRUE,2013,49871
SIMON PANEAK MEMORIAL MUSEUM,SIMON PANEAK MEMORIAL MUSEUM INC,GENERAL MUSEUM,AK,6,TRUE,2013,0
SITKA MARITIME HERITAGE SOCIETY,SITKA MARITIME HERITAGE SOCIETY INC,HISTORY MUSEUM,AK,6,TRUE,2013,34039
SITKA SOUND SCIENCE CENTER,SITKA SOUND SCIENCE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AK,6,FALSE,2013,1923217
STORIS MUSEUM,STORIS MUSEUM,GENERAL MUSEUM,AK,6,TRUE,2013,0
TALKEETNA HISTORICAL SOCIETY,TALKEETNA HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,78315
TANANA YUKON HISTORICAL SOCIETY,TANANA YUKON HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,18705
TONGASS HISTORICAL SOCIETY,TONGASS HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
TREADWELL HISTORIC PRESERVATION & RESTORATION SOCIETY,TREADWELL HISTORIC PRESERVATION AND RESTORATION SOCIETY INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,VALDEZ HISTORICAL PRESERVATION AND RESTORATION COMMITTEE,HISTORIC PRESERVATION,AK,6,FALSE,2013,0
VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION INCORPORAT,HISTORY MUSEUM,AK,6,TRUE,2013,645570
WASILLA-KINK HISTORICAL SOCIETY,WASILLA-KINK HISTORICAL SOCIETY,HISTORIC PRESERVATION,AK,6,FALSE,2013,73802
WESTERN HISTORY ASSOCIATION,WESTERN HISTORY ASSOCIATION,HISTORIC PRESERVATION,AK,6,FALSE,2013,224685
WHALE PROJECT,WHALE PROJECT,HISTORIC PRESERVATION,AK,6,FALSE,2013,327481
WHITESTONE FARMS,WHITESTONE FARMS INC,HISTORIC PRESERVATION,AK,6,FALSE,2013,193187
WHITTIER MUSEUM ASSOCIATION,WHITTIER MUSEUM ASSOCIATION,HISTORY MUSEUM,AK,6,TRUE,2013,0
AFRICAN AMERICAN HERITAGE TRAIL,FRIENDS OF AFRICAN AMERICAN HERITAGE TRAIL INC,GENERAL MUSEUM,AL,3,TRUE,2013,0
AIRCRAFT ENGINE HISTORICAL SOCIETY,AIRCRAFT ENGINE HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
ALABAMA CENTER OF MILITARY HISTORY,ALABAMA CENTER OF MILITARY HISTORY,HISTORIC PRESERVATION,AL,3,FALSE,2013,64159
ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER,ALABAMA GOSPEL MUSIC CULTURAL ARTS CENTER INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,21884
ALABAMA GOVERNORS MANSION,FRIENDS OF THE ALABAMA GOVERNORS MANSION INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
ALABAMA JAZZ HALL OF FAME,ALABAMA JAZZ HALL OF FAME INC,GENERAL MUSEUM,AL,3,TRUE,2013,368247
ALABAMA TRUST FOR HISTORIC PRESERVATION,ALABAMA TRUST FOR HISTORIC PRESERVATION,HISTORIC PRESERVATION,AL,3,FALSE,2013,118576
ALABAMA WILDLIFE CENTER,ALABAMA WILDLIFE CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AL,3,FALSE,2013,440703
ALDRIDGE GARDENS,ALDRIDGE GARDENS,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AL,3,FALSE,2013,538889
ALICEVILLE MUSEUM,ALICEVILLE MUSEUM INC,HISTORY MUSEUM,AL,3,TRUE,2013,72827
ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,HISTORY MUSEUM,AL,3,TRUE,2013,0
ARLINGTON HISTORICAL ASSOCIATION,ARLINGTON HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
ARTSREVIVE,ARTSREVIVE COMMUNITY DEVELOPMENT CORPORATION,HISTORIC PRESERVATION,AL,3,FALSE,2013,206923
ATCHISON COUNTY HISTORICAL SOCIETY,ATCHISON COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,5,FALSE,2013,86206
ATMORE HISTORICAL SOCIETY,ATMORE HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
AUBURN PRESERVATION LEAGUE,AUBURN PRESERVATION LEAGUE,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
AUTAUGA COUNTY HERITAGE ASSOCIATION,AUTAUGA COUNTY HERITAGE ASSOCIATION,HISTORIC PRESERVATION,AL,3,FALSE,2013,51666
BALDWIN HERITAGE MUSEUM ASSOCIATION,BALDWIN HERITAGE MUSEUM ASSOCIATION INC,GENERAL MUSEUM,AL,3,TRUE,2013,56883
BARBOUR COUNTY GOVERNORS TRAIL,BARBOUR COUNTY GOVERNORS TRAIL COUNCIL INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
BARE HANDS GALLERY,BARE HANDS GALLERY INC,ART MUSEUM,AL,3,TRUE,2013,54487
BAYBEARS CHARITIES,BAYBEARS CHARITIES INC,GENERAL MUSEUM,AL,3,TRUE,2013,13548
BESSEMER HALL OF HISTORY,BESSEMER HALL OF HISTORY INC,HISTORY MUSEUM,AL,3,TRUE,2013,8783
BIRMINGHAM HISTORICAL SOCIETY,BIRMINGHAM HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,136632
BIRMINGHAM HISTORY CENTER,BIRMINGHAM HISTORY CENTER,HISTORY MUSEUM,AL,3,TRUE,2013,188366
BIRMINGHAM JEFFERSON HISTORICAL SOCIETY TERM,BIRMINGHAM JEFFERSON HISTORICAL SOCIETY TERM,HISTORIC PRESERVATION,AL,3,FALSE,2013,16565
BIRMINGHAM LANDMARKS,BIRMINGHAM LANDMARKS INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,3837208
BIRMINGHAM ZOO,BIRMINGHAM ZOO INC,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AL,3,FALSE,2013,8932428
BLUE AND GREY MUSEUM OF NORTH ALABAMA,BLUE AND GREY MUSEUM OF NORTH ALABAMA,HISTORY MUSEUM,AL,3,TRUE,2013,34828
BRIDGEPORT AREA HISTORIC ASSOCIATION,BRIDGEPORT AREA HISTORIC ASSOCIATION,HISTORY MUSEUM,AL,3,TRUE,2013,8095
BRUNDIDGE HISTORICAL SOCIETY,BRUNDIDGE HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,-4221
BURRITT MUSEUM,BURRITT MUSEUM ASSOCIATION INC,HISTORY MUSEUM,AL,3,TRUE,2013,1252295
CAPRI COMMUNITY FILM SOCIETY,CAPRI COMMUNITY FILM SOCIETY INC,GENERAL MUSEUM,AL,3,TRUE,2013,419396
CENTER FOR CULTURAL ARTS,GADSDEN CULTURAL ARTS FOUNDATION INC,GENERAL MUSEUM,AL,3,TRUE,2013,3490772
CENTER POINT WOMENS PRESERVATION SOCIETY,CENTER POINT WOMENS PRESERVATION SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
CENTRAL CARVER FOUNDATION,CENTRAL-CARVER FOUNDATION INC,GENERAL MUSEUM,AL,3,TRUE,2013,2036
CENTRAL CARVER LEGACY MUSEUM,CENTRAL-CARVER FOUNDATION INC,GENERAL MUSEUM,AL,3,TRUE,2013,2036
CHAMBER COUNTY MUSEUM,CHAMBER COUNTY MUSEUM INC,GENERAL MUSEUM,AL,3,TRUE,2013,0
CHEROKEE HISTORICAL MUSEUM,CHEROKEE COUNTY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,158668
CHILDREN'S MUSEUM OF ALABAMA,CHILDRENS MUSEUM OF ALABAMA,CHILDREN'S MUSEUM,AL,3,TRUE,2013,50286
CHILDREN'S MUSEUM OF THE SHOALS,CHILDRENS MUSEUM OF THE SHOALS INC,CHILDREN'S MUSEUM,AL,3,TRUE,2013,88560
CHOCTAW COUNTY GENEALOGICAL SOCIETY,CHOCTAW COUNTY GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
CHOCTAW COUNTY HISTORICAL SOCIETY,CHOCTAW COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
CHRISTENBERRY PLANETARIUM,SAMFORD UNIVERSITY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,416502122
CLARKE CO HISTORICAL MUSEUM,CLARKE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,124305
CLARKE COUNTY HISTORICAL SOCIETY & MUSEUM,CLARKE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,124305
CLAY LEGACY ASSOCIATION,CLAY HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
COLEMAN CENTER FOR THE ARTS,COLEMAN CENTER FOR THE ARTS,ART MUSEUM,AL,3,TRUE,2013,199297
COVINGTON HISTORICAL SOCIETY,THE COVINGTON HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
EAST ALABAMA ARTISTS,EAST ALABAMA ARTISTS INCORPORATED,ART MUSEUM,AL,3,TRUE,2013,0
EICHOLD GALLERY,SPRING HILL COLLEGE,ART MUSEUM,AL,3,TRUE,2013,34774309
ENDOWMENT FOR MCWANE SCIENCE CENTER,ENDOWMENT FOR MCWANE SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,465927
ENDOWMENT FOR THE PRESERVATION 0F ELEVATING HISTORY,ENDOWMENT FOR THE PRESERVATION 0F ELEVATING HISTORY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
EUTAW AREA CHAMBER OF COMMERCE TRUST,EUTAW AREA CHAMBER OF COMMERCE TRUST INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,3350
EXPLORE CENTER,EXPLORE CENTER INC,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,4370348
EXPLOREUM MUSEUM OF DISCOVERY,EXPLORE CENTER INC,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,4370348
FAIRHOPE MUSEUM OF HISTORY,FRIENDS OF THE FAIRHOPE MUSEUM OF HISTORY INC,HISTORY MUSEUM,AL,3,TRUE,2013,5738
GEORGE WASHINGTON CARVER INTERPRETIVE MUSEUM,GEORGE WASHINGTON CARVER INTERPRETIVE MUSEUM,GENERAL MUSEUM,AL,3,TRUE,2013,53324
GREENE COUNTY HISTORICAL SOCIETY,GREENE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,636234
GULF COAST EXPLOREUM SCIENCE CENTER,GULF COAST EXPLOREUM SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,2185174
GULF COAST INTERNATIONAL MUSEUM,GULF COAST INTERNATIONAL MUSEUM INC,HISTORY MUSEUM,AL,3,TRUE,2013,0
GUNTERSVILL HISTORICAL SOCIETY,GUNTERSVILL HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,13067
GUNTERSVILLE MUSEUM & CULTURAL CENTER ASSOCIATION,GUNTERSVILLE MUSEUM & CULTURAL CENTER ASSOCIATION,GENERAL MUSEUM,AL,3,TRUE,2013,76660
GUNTERSVILLE MUSEUM AND CULTURAL CENTER,GUNTERSVILLE MUSEUM & CULTURAL CENTER ASSOCIATION,GENERAL MUSEUM,AL,3,TRUE,2013,76660
HARRIS BARRETT SCHOOL,HARRIS BARRETT SCHOOL INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
HEART GALLERY OF ALABAMA,HEART GALLERY OF ALABAMA INC,ART MUSEUM,AL,3,TRUE,2013,223739
HEART OF DIXIE RAILROAD MUSEUM,HEART OF DIXIE RAILROAD MUSEUM INC,HISTORY MUSEUM,AL,3,TRUE,2013,1024873
HELEN KELLER BIRTHPLACE,HELEN KELLER BIRTHPLACE FOUNDATION INC,GENERAL MUSEUM,AL,3,TRUE,2013,199930
HENRY COUNTY VETERANS MEMORIAL PARK,HENRY COUNTY VETERANS MEMORIAL PARK,HISTORIC PRESERVATION,AL,3,FALSE,2013,9804
HISTORIC HALE COUNTY PRESERVATION SOCIETY,HISTORIC HALE COUNTY PRESERVATION SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
HISTORY MUSEUM OF MOBILE,MOBILE MEDICAL MUSEUM INC,HISTORY MUSEUM,AL,3,TRUE,2013,40906
HOLT STREET BAPTIST CHURCH HISTORICAL SOCIETY,HOLT STREET BAPTIST CHURCH HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
HOMER B WILSON JR VINTAGE MUSEUM,HOMER B WILSON JR VINTAGE MUSEUM,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,0
HOUSTON HISTORICAL SOCIETY,HOUSTON HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
HUNTSVILLE - MADISON COUNTY ATHLETIC HALL OF FAME,HUNTSVILLE-MADISON COUNTY ATHLETIC HALL OF FAME INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,5906
HUNTSVILLE MUSEUM OF ART,HUNTSVILLE MUSEUM OF ART,GENERAL MUSEUM,AL,3,TRUE,2013,2015943
IMAGINATION PLACE,GADSDEN CULTURAL ARTS FOUNDATION INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,3490772
IRONDALE AL HISTORICAL SOCIETY,IRONDALE AL HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,ART MUSEUM,AL,3,TRUE,2013,80038
JEMISON-VAN DE GRAAFF MANSION FOUNDATION,JEMISON-VAN DE GRAAFF MANSION FOUNDATION,HISTORIC PRESERVATION,AL,3,FALSE,2013,146509
JESSE OWENS MUSEUM AND PARK,FRIENDS OF THE JESSE OWENS MUSEUM AND PARK,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",AL,3,FALSE,2013,0
KENTUCK ART CENTER & MUSEUM,THE KENTUCK MUSEUM ASSOCIATION INC,ART MUSEUM,AL,3,TRUE,2013,445388
LAGRANGE LIVING HISTORICAL ASSOCIATION,LAGRANGE LIVING HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,AL,3,FALSE,2013,19057
LANDMARKS FOUNDATION OF MONTGOMERY,LANDMARKS FOUNDATION OF MONTGOMERY,HISTORIC PRESERVATION,AL,3,FALSE,2013,786968
LAWRENCE COUNTY HISTORICAL COMMISSION,LAWRENCE COUNTY HISTORICAL COMMISSION,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
LEDS SCENIC BYWAY MANAGEMENT TEAM,LEDS SCENIC BYWAY MANAGEMENT TEAM INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
LEE COUNTY HISTORICAL SOCIETY,LEE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,50467
LEEDS HISTORICAL SOCIETY,LEEDS HISTORICAL SOCIETY INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
LIMESTONE COUNTY ALABAMA ARCHIVES,FRIENDS OF THE LIMESTONE COUNTY ALABAMA ARCHIVES,HISTORIC PRESERVATION,AL,3,FALSE,2013,3643
LIMESTONE COUNTY HISTORICAL SOCIETY,LIMESTONE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
MARENGO COUNTY HISTORICAL SOCIETY,ELIZABETH LAIRD TR UW 101993 FBO MARENGO COUNTY HISTORICAL,HISTORIC PRESERVATION,AL,3,FALSE,2013,94581
MARENGO COUNTY HISTORY-ARCHIVES,MARENGO COUNTY HISTORY AND ARCHIVES MUSEUM FOUNDATION INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,0
MARIETTA L JOHNSON MUSEUM,MARIETTA L JOHNSON MUSEUM,HISTORY MUSEUM,AL,3,TRUE,2013,0
MARION COUNTY HISTORICAL SOCIETY,MARION COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,AL,3,FALSE,2013,220216
MARSHALL COUNTY SPORTS HALL OF FAME,MARSHALL COUNTY SPORTS HALL OF FAME INC,HISTORY MUSEUM,AL,3,TRUE,2013,14523
MCCOY CENTER FOR COMMUNITY SERVICE,MCCOY CENTER FOR COMMUNITY SERVICE INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,95811
MCWANE SCIENCE CENTER,MCWANE SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,AL,3,TRUE,2013,8814675
MOBILE MEDICAL MUSEUM,MOBILE MEDICAL MUSEUM INC,HISTORY MUSEUM,AL,3,TRUE,2013,40906
MOBILE SPORTS HALL OF FAME,MOBILE SPORTS HALL OF FAME INC,GENERAL MUSEUM,AL,3,TRUE,2013,221412
MOBILE ZOO,MOBILE ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",AL,3,FALSE,2013,53441
MONROE COUNTY HERITAGE MUSEUM,MONROE COUNTY HERITAGE MUSEUM INC,HISTORY MUSEUM,AL,3,TRUE,2013,311572
MONTGOMERY MUSEUM OF FINE ARTS,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,ART MUSEUM,AL,3,TRUE,2013,5518406
MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,ART MUSEUM,AL,3,TRUE,2013,5518406
MUSANN CORP,MUSANN CORP,NATURAL HISTORY MUSEUM,AL,3,TRUE,2013,74908
MUSEUM OF MOBILE,MUSEUM OF MOBILE INC,HISTORIC PRESERVATION,AL,3,FALSE,2013,46907
NATIONAL MARITIME MUSEUM,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO,GENERAL MUSEUM,AL,3,TRUE,2013,2241160
NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO,NATIONAL MARITIME MUSEUM OF THE GULF OF MEXICO,GENERAL MUSEUM,AL,3,TRUE,2013,2241160
NATIONAL MARITIME MUSUEM OF THE GULF OF MEXICO HOLDINGS,NATIONAL MARITIME MUSUEM OF THE GULF OF MEXICO HOLDINGS,GENERAL MUSEUM,AL,3,TRUE,2013,55000
